id_grupo_valor_categoria,id_valor_categoria
9b7dd97e-7138-48d3-a64f-d01f254a010a,5a46ef97-cf7f-4ee1-a922-48f76fac3812
9b7dd97e-7138-48d3-a64f-d01f254a010a,2f777573-c5ce-4d32-beee-24694dde857e
3291a191-71c4-407f-a95d-163dd7cd39ea,5a46ef97-cf7f-4ee1-a922-48f76fac3812
3291a191-71c4-407f-a95d-163dd7cd39ea,2f777573-c5ce-4d32-beee-24694dde857e
6ff1acbe-85d3-4cce-bba2-f7d35a781316,1330aa3e-cb44-4fbd-bb23-aba46ac9a772
6ff1acbe-85d3-4cce-bba2-f7d35a781316,7bae2246-ceed-44fb-90f0-87e7e3624bfa
6ff1acbe-85d3-4cce-bba2-f7d35a781316,43d55977-3cfb-4355-bef4-12f0b8ab86d7
0ab688a4-3c32-49e1-a37e-32b79c4ef611,db42aad0-89e0-4b27-84d6-395d83c18ee5
0ab688a4-3c32-49e1-a37e-32b79c4ef611,92b54f1c-46e1-4557-a32d-6cd0e6d98cb7
0ab688a4-3c32-49e1-a37e-32b79c4ef611,b4c27697-501c-4a19-af40-2e6e8133fbdb
fbac6ef5-d2d9-4fb0-9019-17bb4bd73ac5,db42aad0-89e0-4b27-84d6-395d83c18ee5
fbac6ef5-d2d9-4fb0-9019-17bb4bd73ac5,92b54f1c-46e1-4557-a32d-6cd0e6d98cb7
fbac6ef5-d2d9-4fb0-9019-17bb4bd73ac5,b4c27697-501c-4a19-af40-2e6e8133fbdb
aa355b4e-ead6-49f6-81dc-4e1c9c5045d9,e3a01823-31e7-4e94-9994-563d2f45c2ca
aa355b4e-ead6-49f6-81dc-4e1c9c5045d9,58806b92-4381-4ae9-b59e-199f352b50d5
aa355b4e-ead6-49f6-81dc-4e1c9c5045d9,0dcdc5ac-81bb-486d-b8c3-f26f79f148c1
aa355b4e-ead6-49f6-81dc-4e1c9c5045d9,9b68de75-5e4d-49af-a305-c7d8ea5bd816
aa355b4e-ead6-49f6-81dc-4e1c9c5045d9,e1b7a4ce-b744-46b7-af1c-5e3036835b83
aa355b4e-ead6-49f6-81dc-4e1c9c5045d9,c30b3e6d-c824-4c1b-8ca3-95d71f9bef8b
aa355b4e-ead6-49f6-81dc-4e1c9c5045d9,dac0f992-9f43-4c9c-aead-b2b58522c01a
aa355b4e-ead6-49f6-81dc-4e1c9c5045d9,e71078ab-9298-462c-98f8-4ab35935ebe0
3dac7140-612b-42d6-8796-a5823bca0a52,9f29d8b4-376a-46fd-8ee0-6965457f86e2
3dac7140-612b-42d6-8796-a5823bca0a52,409009fa-b32c-49e8-adee-c8e1243973de
3dac7140-612b-42d6-8796-a5823bca0a52,ed06ef32-1411-4d8d-9cc3-229c48c2119c
3dac7140-612b-42d6-8796-a5823bca0a52,e0526893-86ea-4682-8ee7-c5c7eb58086d
44579178-5d36-4ce1-b60e-2b85493ca708,73191829-10f0-419c-b07b-d195134f3425
44579178-5d36-4ce1-b60e-2b85493ca708,1ab4718d-e779-4f8a-8716-325b5d92b6b2
44579178-5d36-4ce1-b60e-2b85493ca708,97e2a912-d284-4787-8681-36ed5d3be060
44579178-5d36-4ce1-b60e-2b85493ca708,c92b93ee-f039-43de-9844-6d5fae82579a
44579178-5d36-4ce1-b60e-2b85493ca708,22e8692d-e04e-424a-b08c-a8a602d1d29d
44579178-5d36-4ce1-b60e-2b85493ca708,fc539253-f3d4-45a6-aca0-219af5c70ce0
44579178-5d36-4ce1-b60e-2b85493ca708,2687cbaf-28e3-47c9-9796-c8183205433d
44579178-5d36-4ce1-b60e-2b85493ca708,0e44275c-9e15-45b8-98ed-6de979a02848
1c16d37a-e208-46a8-9514-c765e2c6c0c8,73191829-10f0-419c-b07b-d195134f3425
1c16d37a-e208-46a8-9514-c765e2c6c0c8,1ab4718d-e779-4f8a-8716-325b5d92b6b2
1c16d37a-e208-46a8-9514-c765e2c6c0c8,97e2a912-d284-4787-8681-36ed5d3be060
1c16d37a-e208-46a8-9514-c765e2c6c0c8,c92b93ee-f039-43de-9844-6d5fae82579a
1c16d37a-e208-46a8-9514-c765e2c6c0c8,22e8692d-e04e-424a-b08c-a8a602d1d29d
1c16d37a-e208-46a8-9514-c765e2c6c0c8,fc539253-f3d4-45a6-aca0-219af5c70ce0
1c16d37a-e208-46a8-9514-c765e2c6c0c8,2687cbaf-28e3-47c9-9796-c8183205433d
1c16d37a-e208-46a8-9514-c765e2c6c0c8,0e44275c-9e15-45b8-98ed-6de979a02848
5ba8c0ce-2478-4b7a-9904-6e6196482f46,5a46ef97-cf7f-4ee1-a922-48f76fac3812
5ba8c0ce-2478-4b7a-9904-6e6196482f46,2f777573-c5ce-4d32-beee-24694dde857e
3199f6f0-5f27-4d3a-83ee-8fe02e429413,360b37d1-4b6c-4cc8-af6a-d48242cc3455
3199f6f0-5f27-4d3a-83ee-8fe02e429413,32fec052-175b-4a87-b822-4c21d7a8e40e
3199f6f0-5f27-4d3a-83ee-8fe02e429413,f09b4c58-3763-4738-8d12-cefb1872729b
3199f6f0-5f27-4d3a-83ee-8fe02e429413,014c3e5d-c58a-44ce-87ac-66607d0c4fb7
d9ebb264-fc97-45c2-b624-ffb4f6917b2b,352123ae-01f4-43d2-a757-a44b8f387df6
d9ebb264-fc97-45c2-b624-ffb4f6917b2b,5775486a-a049-42ab-9a8b-3b599f1a7f6c
d9ebb264-fc97-45c2-b624-ffb4f6917b2b,c6b971bb-fe74-49ab-a851-a6e45117cdb1
d9ebb264-fc97-45c2-b624-ffb4f6917b2b,f4ad70fd-aa74-44e8-8dc2-d379e2efbd5b
85fb35a8-6fb9-4349-86d6-519dee0786b5,214ab8ed-9603-483c-8edd-699eef5594e9
85fb35a8-6fb9-4349-86d6-519dee0786b5,ee9c5c1a-6d36-4639-9e0f-4f0bcb4cf803
85fb35a8-6fb9-4349-86d6-519dee0786b5,3178cd0d-fc82-43a2-be9e-d2e08f8102cf
85fb35a8-6fb9-4349-86d6-519dee0786b5,750e3c54-fb8e-43bc-8bbe-fb4ff9951aa2
56a41c52-e05c-410c-b33e-ae6a81cbbd65,214ab8ed-9603-483c-8edd-699eef5594e9
56a41c52-e05c-410c-b33e-ae6a81cbbd65,ee9c5c1a-6d36-4639-9e0f-4f0bcb4cf803
56a41c52-e05c-410c-b33e-ae6a81cbbd65,a386e1c0-ed85-4e89-8e6d-aaa2809a7e99
3933562b-ebd6-4e5a-bc80-6ffff227dd88,d6067bf3-70db-465f-8a31-89c632301ee2
3933562b-ebd6-4e5a-bc80-6ffff227dd88,42c735bc-7cfa-4736-9da1-ce171302ed99
3933562b-ebd6-4e5a-bc80-6ffff227dd88,888eccc9-1d65-4826-9d0a-4f2511b53b87
