id_grupo_episodio,id_episodio
ec591ead-04a6-467f-872f-fae03e320342,a12724ac-89ea-41c4-8908-ef1c9cb59e24
f6a03287-7105-48a0-8462-4a96a131a498,a12724ac-89ea-41c4-8908-ef1c9cb59e24
cdb448eb-a0a0-44ae-b123-eb6827bfe33c,82c21d62-f0cc-40ee-b369-e7281b2d18b3
ba31e7de-b374-4467-8243-1a3296378fd4,82c21d62-f0cc-40ee-b369-e7281b2d18b3
3ba5cdcc-5ec4-4391-8387-452eb328fc73,82c21d62-f0cc-40ee-b369-e7281b2d18b3
bd7f0039-5b1b-4759-b63c-f827e5b37bb9,82c21d62-f0cc-40ee-b369-e7281b2d18b3
910a762c-14fc-471c-a151-beb22c46dbef,82c21d62-f0cc-40ee-b369-e7281b2d18b3
11bbf708-5511-44f1-8d85-992e9d047155,82c21d62-f0cc-40ee-b369-e7281b2d18b3
64eb8988-2bba-441c-9a7f-e0322daf2296,a12724ac-89ea-41c4-8908-ef1c9cb59e24
a9a76064-0d41-4f7a-94e4-a8a85647e372,a12724ac-89ea-41c4-8908-ef1c9cb59e24
3bc2c11e-dc6a-4952-b818-ec34a6e3e10c,a12724ac-89ea-41c4-8908-ef1c9cb59e24
c6ed21f7-7d22-48e1-baee-3a5b63bd8a01,a12724ac-89ea-41c4-8908-ef1c9cb59e24
d08e77ab-ea5b-4f9c-98cf-7fc7457c712a,82c21d62-f0cc-40ee-b369-e7281b2d18b3
a0e7d63b-3965-439e-aed2-36b95569a4b3,82c21d62-f0cc-40ee-b369-e7281b2d18b3
3badc278-c0c6-4cb1-93e1-26781951ff4d,a12724ac-89ea-41c4-8908-ef1c9cb59e24
72a2c84e-0b41-45e2-b67f-3954f02b093c,a12724ac-89ea-41c4-8908-ef1c9cb59e24
d470f1f9-314a-46f8-a264-828451970356,a12724ac-89ea-41c4-8908-ef1c9cb59e24
a62b57bf-1ff4-4f0a-9fb9-a76bc23b350c,82c21d62-f0cc-40ee-b369-e7281b2d18b3
fe184e85-8c83-4c33-89d2-3aab15e3d174,a12724ac-89ea-41c4-8908-ef1c9cb59e24
abec3553-4182-46f0-b805-104e77773b73,a12724ac-89ea-41c4-8908-ef1c9cb59e24
f6b9cfb5-d2d5-4cf2-bc6c-664c1e56d1a5,a12724ac-89ea-41c4-8908-ef1c9cb59e24
efc865a0-b934-4012-9940-dd001ec17e90,a12724ac-89ea-41c4-8908-ef1c9cb59e24
fec277c4-072e-4e04-98f2-5a1533da48f7,a12724ac-89ea-41c4-8908-ef1c9cb59e24
2ca75545-3c1c-46f4-8e45-2e1321f5f58e,a12724ac-89ea-41c4-8908-ef1c9cb59e24
0ffa8601-f7a2-4641-9ab0-932987efbb41,a12724ac-89ea-41c4-8908-ef1c9cb59e24
3ef1ef27-4d97-4f4e-a760-77e91e26cbff,a12724ac-89ea-41c4-8908-ef1c9cb59e24
240a2440-9f8c-4a85-8c0e-255eca36f0fd,82c21d62-f0cc-40ee-b369-e7281b2d18b3
98f47417-ff4d-422d-a16c-6c11d6beff03,82c21d62-f0cc-40ee-b369-e7281b2d18b3
39065f01-61e7-48cd-84cd-b684fad47eda,a12724ac-89ea-41c4-8908-ef1c9cb59e24
b45046cd-8292-4cd7-bf8a-e6c7ad03647f,a12724ac-89ea-41c4-8908-ef1c9cb59e24
04958455-19fc-413d-b0a2-eb452924cd98,a12724ac-89ea-41c4-8908-ef1c9cb59e24
660b3184-a15e-4130-a7a3-70134a5ca2e6,a12724ac-89ea-41c4-8908-ef1c9cb59e24
aa5676a6-d70c-428b-a826-6a844375c6ae,82c21d62-f0cc-40ee-b369-e7281b2d18b3
