id_variable,id_fecha_registro,id_fase,id_inicio_fase,id_fin_fase,id_grupo_episodio,id_grupo_tema_interes,id_grupo_variable_longitudinal,id_grupo_categoria,id_grupo_operacion,valor_min,valor_max,valor_no_conocido
1faad3a3-fd91-4849-9801-1bd090f52bb2,01012025,fad7d0dd-a97f-4850-a4ab-2f3dad2d0382,545fd213-32fb-43b3-9739-355e09fe6932,92826a67-af23-4a5b-b294-562a2762d412,13f76b6b-e64b-48e9-a086-5c6605284d9c,f53c26f0-b5c1-4c0a-b463-1d0a02e424f9,,1dfd3ee2-4d88-403a-85a7-24e70353db9a,,0,1,-1
8a8ae893-89fb-4ea8-bc6a-92f8e617993b,01012025,fad7d0dd-a97f-4850-a4ab-2f3dad2d0382,545fd213-32fb-43b3-9739-355e09fe6932,92826a67-af23-4a5b-b294-562a2762d412,79358036-eb2b-49ec-92bf-b2aa20015037,c40033c8-1d75-4678-bb78-5d267868dfd2,,baa64b47-48f4-4279-aecc-70ab9fb95146,,,,
34e01b8b-2985-4954-8e40-ecc5d138d179,01012025,fad7d0dd-a97f-4850-a4ab-2f3dad2d0382,545fd213-32fb-43b3-9739-355e09fe6932,92826a67-af23-4a5b-b294-562a2762d412,9ed8304f-e893-422f-8f0f-bee52fd02ac1,5460fe0b-0618-486d-9ed5-e3f4d7760cef,,da252a85-eb83-4845-be32-753121de4b7f,,0,200000,-1
422527dd-4108-4981-8827-7f75cc1c54ba,01012025,fad7d0dd-a97f-4850-a4ab-2f3dad2d0382,545fd213-32fb-43b3-9739-355e09fe6932,92826a67-af23-4a5b-b294-562a2762d412,5c7eaa48-9c1d-4709-8849-881eb6963b97,85c3503f-ed71-4b79-89c6-d239ae9b9d95,,5d46110b-40e5-48f5-9267-e9b84b383550,,1,4,-1
fe9b0c07-5e34-4e46-9e00-72c70bfdcc98,01012025,fad7d0dd-a97f-4850-a4ab-2f3dad2d0382,545fd213-32fb-43b3-9739-355e09fe6932,92826a67-af23-4a5b-b294-562a2762d412,27106d24-f211-4616-bb4d-af79d9904628,23d2f472-de1e-4065-aa32-492ed37a18c1,,781f315e-ff62-4d7e-a825-e6633171e8e0,,19950101,20501231,-1
3a572c32-78cb-4226-9f69-35a501902d76,01012025,b6ac7f86-46d6-48cc-b8e7-34a9c0434a5f,92826a67-af23-4a5b-b294-562a2762d412,,69ae50f0-fe38-4a56-81ce-614a8d182d1a,fc9b659a-66f8-46bf-87c3-7e4674ea6cc1,,33248a44-5788-4c13-96e8-4e67617df1cf,,0,1,-1
1bcd5474-8493-40b9-a9a6-933a7d4c8931,01012025,b6ac7f86-46d6-48cc-b8e7-34a9c0434a5f,92826a67-af23-4a5b-b294-562a2762d412,,6b04ccec-f87d-4e71-8908-8d3fe03f8553,7888988b-a35f-475c-beb0-a172b4fdb0ae,,35ca69d4-b2c6-41be-9c8d-995d1c885832,,1,3,-1
32e228a1-616b-4651-a5c4-8e56dcc8ebc3,01012025,b6ac7f86-46d6-48cc-b8e7-34a9c0434a5f,92826a67-af23-4a5b-b294-562a2762d412,,53ffb401-82be-4600-bbbf-5250a57a2596,84aec109-edb6-46d7-9652-80a0d233f1a0,,a86e7881-beb0-4b6e-8d39-fcc82c8dde80,,1,3,-1
32b1912f-2c53-4faf-87d7-0b86b511fe13,01012025,b6ac7f86-46d6-48cc-b8e7-34a9c0434a5f,92826a67-af23-4a5b-b294-562a2762d412,,4268609e-25d2-46c5-ade7-dd99979b5231,dc1413a1-6e24-407d-b5b2-f2fbedd28a27,,91bd5a9b-f5d4-46d2-9e6e-568add846975,,1,3,-1
03853321-7821-407f-bbf1-0ea004bca96b,01012025,b6ac7f86-46d6-48cc-b8e7-34a9c0434a5f,92826a67-af23-4a5b-b294-562a2762d412,,0aa4cbdf-a7a0-4b8c-b640-74770f33b76e,d9eaf105-fa60-4e9a-af62-dd613edfe82a,,a6f926ce-55dd-49fd-a47a-0f0d51380e74,,30,120,-1
41e24cbf-5e11-4002-824d-a45d62eaa39c,01012025,b6ac7f86-46d6-48cc-b8e7-34a9c0434a5f,92826a67-af23-4a5b-b294-562a2762d412,,9e8ced44-9dc9-441f-9d64-aa55401a9279,de58bced-7bb5-4c15-8a43-9976167b9111,,474123fe-d0e9-49aa-b734-cb3723ba1675,,30,120,-1
bd69a256-6d32-4dd2-b540-a71e94f2f7e0,01012025,b6ac7f86-46d6-48cc-b8e7-34a9c0434a5f,92826a67-af23-4a5b-b294-562a2762d412,,eb3275f7-5051-45a4-8f20-cc102e79d750,de8444a7-421d-44e7-93ea-f619d3c27ea2,,c4524251-c99d-432c-990a-66a01ba2bf7c,,1,8,-1
f2e967e1-e682-4e4f-9188-63ea08be8bd4,01012025,b6ac7f86-46d6-48cc-b8e7-34a9c0434a5f,92826a67-af23-4a5b-b294-562a2762d412,,137fb1b5-9d1d-4080-b7f9-e68f977d1c91,54fe0753-e0d0-4473-96b3-c4eed1029a39,,cd0a6b25-5217-4197-bc8d-4a8fcbad8ba6,,50,220,-1
fbc0c385-d444-4ab9-b2ef-a97e4505bbd4,01012025,b6ac7f86-46d6-48cc-b8e7-34a9c0434a5f,92826a67-af23-4a5b-b294-562a2762d412,,967bda6f-3ffd-469a-b6f5-2d1bbf7013bc,e1c61ee7-b20d-415d-b0eb-fd9aae1b066b,,7a013d65-d790-4281-92ad-c88a332e0eb1,,50,220,-1
f819095d-b9a9-4f04-827d-54fb20fa6c06,01012025,b6ac7f86-46d6-48cc-b8e7-34a9c0434a5f,92826a67-af23-4a5b-b294-562a2762d412,,d430d4ac-9f1f-4a87-bcec-db9aca5c2f39,da228f45-08f4-4785-88a0-1fe26b519df4,,9b560776-f763-4111-9ba4-dd44c7b300c0,,1,4,-1
387d7cbf-af65-4dbc-827d-4924e7c2e931,01012025,b6ac7f86-46d6-48cc-b8e7-34a9c0434a5f,92826a67-af23-4a5b-b294-562a2762d412,,9caf3174-f11b-4bbb-88c9-8946baea4ee9,5dc3c8f1-2e9f-43b5-8e3e-155fadbdabfb,,a6cfbaa6-3580-4c3b-bdfa-7bcb50f56a90,,1,8,-1
4bf41ba4-39db-41f9-8128-4352d502fad8,01012025,b6ac7f86-46d6-48cc-b8e7-34a9c0434a5f,92826a67-af23-4a5b-b294-562a2762d412,,180a9daa-53f9-42fe-9dc5-944b46ecd107,c085e293-c350-4b21-bb79-42af3d0e560c,,35e17e98-2b4e-4a21-a5a6-ae1f3cf034c4,,1,8,-1
ad334478-35ab-4505-9b04-11fa1a668474,01012025,b6ac7f86-46d6-48cc-b8e7-34a9c0434a5f,92826a67-af23-4a5b-b294-562a2762d412,,60d55453-48cc-4c8c-8a77-020cc2b5793a,dde46415-b707-41b3-969b-2c784e58e3be,,8531a6cd-e710-4276-84d1-0f30270cc27d,,0,30000000,-1
618f0513-411b-4ba5-8c33-c0301e905643,01012025,b6ac7f86-46d6-48cc-b8e7-34a9c0434a5f,92826a67-af23-4a5b-b294-562a2762d412,,668137e1-a8de-484b-8d29-e6b606d36ca8,f4428eee-22c5-458e-bab8-457a9a9bcb0e,,beb3acc7-08cc-4f8e-ba46-66b25b5ba2ab,,0,10,-1
