idGrupoTemaInteres,idTemaInteres
c4762eb4-6860-4d1a-a2d8-e43c152cc6f6,cf81df12-3657-4a51-873c-9c2f39fd240c
575eefd0-d764-4973-b9c8-a999a16c668d,ef06a248-e706-4d98-92e7-f6a8956b762c
f9ddfab5-517c-424d-9781-cfbb9ddad6d5,0fb20fe0-549a-4fb8-983c-91222fedfe61
7c333397-6522-47b0-bbec-291b6f0d0dc2,0fb20fe0-549a-4fb8-983c-91222fedfe61
aa8f7db4-fff3-4682-bc6d-7320bc1b05c8,0fb20fe0-549a-4fb8-983c-91222fedfe61
2ed276b5-f6d8-4687-a973-5024a2a5cd57,04d8d6a7-c069-488b-b554-cf0babdb1fff
f2415848-812a-49ad-b9d2-36a604dcce0f,04d8d6a7-c069-488b-b554-cf0babdb1fff
439ba004-0625-4deb-b765-2c689d7062d1,04d8d6a7-c069-488b-b554-cf0babdb1fff
f8efe085-fb7c-4543-915a-150a3f536922,04d8d6a7-c069-488b-b554-cf0babdb1fff
a8299350-426c-4d98-b2a3-7625c03287c6,04d8d6a7-c069-488b-b554-cf0babdb1fff
e57170b4-b570-4e57-a989-5155d2b6fcd0,0fb20fe0-549a-4fb8-983c-91222fedfe61
a57e8218-ee95-4cdc-bb7b-838999cadd63,0fb20fe0-549a-4fb8-983c-91222fedfe61
f1071622-6b3e-4e3e-bc9a-818ef7a2f3ad,0fb20fe0-549a-4fb8-983c-91222fedfe61
0c538940-96aa-4361-bb93-cf8da3c2c6b0,0fb20fe0-549a-4fb8-983c-91222fedfe61
861ad55f-c49e-4e33-80ff-3cd96704cb45,0fb20fe0-549a-4fb8-983c-91222fedfe61
37f2cada-8610-47aa-b5c0-7e0e0332f010,0fb20fe0-549a-4fb8-983c-91222fedfe61
2c45d2e3-011b-4ada-8462-43a0dbbfe899,0fb20fe0-549a-4fb8-983c-91222fedfe61
420ef157-4602-4dc1-bd99-ef82b070bedc,0fb20fe0-549a-4fb8-983c-91222fedfe61
13e9e319-0cd1-4af4-9bba-e1edb31988ed,0fb20fe0-549a-4fb8-983c-91222fedfe61
fc482237-75f9-4046-9798-5dca260d1f08,0fb20fe0-549a-4fb8-983c-91222fedfe61
cf84ea0e-2860-4c6b-878a-e120c77662b6,0fb20fe0-549a-4fb8-983c-91222fedfe61
04fefa56-3859-41fd-bd92-a6e1218718f8,0fb20fe0-549a-4fb8-983c-91222fedfe61
0cf97f89-003c-4cd0-a20e-04c1a165546c,0fb20fe0-549a-4fb8-983c-91222fedfe61
8581173e-dea0-47b3-8faf-a1e66203431f,0fb20fe0-549a-4fb8-983c-91222fedfe61
edc34cef-7945-4186-8e31-d59a2f13dc41,0fb20fe0-549a-4fb8-983c-91222fedfe61
a9db462b-f28c-43f2-bf1a-8de1dfc26f4c,0fb20fe0-549a-4fb8-983c-91222fedfe61
2edc29fc-069c-43f1-a86a-6738ccc6b5b3,cf81df12-3657-4a51-873c-9c2f39fd240c
4ad1c6cb-21da-49b6-a9f2-fa31fe425fe9,cf81df12-3657-4a51-873c-9c2f39fd240c
00db5f2f-9bb4-4b07-8470-186f6a045850,cf81df12-3657-4a51-873c-9c2f39fd240c
43909ae5-3f2f-4118-a316-4ecb746838ec,04d8d6a7-c069-488b-b554-cf0babdb1fff
8b6e51f9-450b-4985-a0e2-213a81ca9015,04d8d6a7-c069-488b-b554-cf0babdb1fff
b8a1eb28-08a9-434b-a580-a9cf198fd635,04d8d6a7-c069-488b-b554-cf0babdb1fff
b6a5947b-8279-4bd0-a46d-6376500cbd3d,cf81df12-3657-4a51-873c-9c2f39fd240c
00858e48-f377-4af2-92d3-f95571c99452,cf81df12-3657-4a51-873c-9c2f39fd240c
bb68dbf6-1f6a-4985-947a-4502b1524b9f,cf81df12-3657-4a51-873c-9c2f39fd240c
02bbc88b-6400-4e6a-8087-a4ff0b730ad7,cf81df12-3657-4a51-873c-9c2f39fd240c
279da873-b739-4eed-a7f4-553a9ee4f6dc,04d8d6a7-c069-488b-b554-cf0babdb1fff
16cebcc2-7bb2-4f76-a084-586b295219c5,cf81df12-3657-4a51-873c-9c2f39fd240c
c98c2a2e-576f-4bc1-89a4-d63082007ef4,cf81df12-3657-4a51-873c-9c2f39fd240c
43bb676c-151c-437a-83e9-03fd4dadb378,cf81df12-3657-4a51-873c-9c2f39fd240c
600a2e3a-53be-42ae-9b3f-58d17dc2dc31,cf81df12-3657-4a51-873c-9c2f39fd240c
47345495-f8b3-49a7-afb2-0153707515ba,cf81df12-3657-4a51-873c-9c2f39fd240c
cd38a7a9-9285-4303-ad46-eb5c2fdf39f8,cf81df12-3657-4a51-873c-9c2f39fd240c
2a21f1bf-c7a3-401b-b109-c7a806ebf126,cf81df12-3657-4a51-873c-9c2f39fd240c
6f92eea8-29bc-4ef5-8e35-54d505b85080,cf81df12-3657-4a51-873c-9c2f39fd240c
43e8edb6-742c-451c-9785-bb33b2870eb2,cf81df12-3657-4a51-873c-9c2f39fd240c
34354ea3-f735-4027-afdc-ee7c80e972fb,cf81df12-3657-4a51-873c-9c2f39fd240c
4b8ad940-886d-4a5b-bf19-c87c11f0fa4a,cf81df12-3657-4a51-873c-9c2f39fd240c
31c2b890-0fc8-46b7-98e6-c460410c4b39,cf81df12-3657-4a51-873c-9c2f39fd240c
3c970dd3-7283-40db-9f5c-5e7b8764bdd7,cf81df12-3657-4a51-873c-9c2f39fd240c
41fdf7b7-e9f8-4212-9986-2ff1a3c419da,cf81df12-3657-4a51-873c-9c2f39fd240c
cb59b7c0-0ca2-45a4-a5eb-4ba6255f8b31,cf81df12-3657-4a51-873c-9c2f39fd240c
45a7d461-0ccd-443c-94e6-9b96c532175e,cf81df12-3657-4a51-873c-9c2f39fd240c
214bc3f8-08a0-4581-8179-73c4c781d194,cf81df12-3657-4a51-873c-9c2f39fd240c
56716738-6a4d-4949-8bc8-23e189957170,cf81df12-3657-4a51-873c-9c2f39fd240c
ecf40618-4d83-4da2-a344-56de0a0b3f53,cf81df12-3657-4a51-873c-9c2f39fd240c
cf839898-2ead-4e23-820c-1183f2fa491c,cf81df12-3657-4a51-873c-9c2f39fd240c
e6e1b678-a723-4bc1-bfb1-0d84dd739f29,cf81df12-3657-4a51-873c-9c2f39fd240c
0cd40e1c-5182-4fbe-9344-72c96f520dce,cf81df12-3657-4a51-873c-9c2f39fd240c
43ebf6a9-a874-4152-a9f0-34382f5f2517,cf81df12-3657-4a51-873c-9c2f39fd240c
297b2c53-95cb-415a-8627-972385a99b6b,cf81df12-3657-4a51-873c-9c2f39fd240c
7c3d9b77-8bf3-428b-a884-370c400cfb86,cf81df12-3657-4a51-873c-9c2f39fd240c
9dcf02ee-4e66-4d1e-ae0b-a51ece86e693,cf81df12-3657-4a51-873c-9c2f39fd240c
71c03a38-c2b7-41c6-ae23-bfbe2776f826,cf81df12-3657-4a51-873c-9c2f39fd240c
71c03a38-c2b7-41c6-ae23-bfbe2776f826,04d8d6a7-c069-488b-b554-cf0babdb1fff
2d63b39a-8b8e-49c5-a34d-da8429caddd8,cf81df12-3657-4a51-873c-9c2f39fd240c
a577eaef-7677-419b-993e-4aba0e803779,cf81df12-3657-4a51-873c-9c2f39fd240c
b93eb90c-57a4-4e20-add7-d52f5899fb86,cf81df12-3657-4a51-873c-9c2f39fd240c
73274154-9d58-436f-93e6-84dc41a5e13f,cf81df12-3657-4a51-873c-9c2f39fd240c
44ba8237-e653-45c9-b940-f810315e1b23,cf81df12-3657-4a51-873c-9c2f39fd240c
e59e0cbe-6d59-4c49-a77f-ba11a4d20dc8,cf81df12-3657-4a51-873c-9c2f39fd240c
59b34949-1833-4e21-8bcd-c6f4dd96e9b9,cf81df12-3657-4a51-873c-9c2f39fd240c
11871c45-41fa-4036-b4e9-06e77c93d449,cf81df12-3657-4a51-873c-9c2f39fd240c
2bf4ffd6-6654-4adf-9d65-a51c5c3acd3c,cf81df12-3657-4a51-873c-9c2f39fd240c
e8e642d7-583f-4a9a-88fc-cc74e457a3d4,cf81df12-3657-4a51-873c-9c2f39fd240c
7662a4df-7323-4b64-a87d-df84665f91c9,cf81df12-3657-4a51-873c-9c2f39fd240c
4cfe606d-d401-4cb8-beb4-bb9172811971,cf81df12-3657-4a51-873c-9c2f39fd240c
4472c5dc-84d8-4b33-bb6a-3516b339f21c,6bcc230c-a736-41bd-b859-8149db146b0d
4472c5dc-84d8-4b33-bb6a-3516b339f21c,04d8d6a7-c069-488b-b554-cf0babdb1fff
d3e8cfde-1339-4d29-8d72-1b7d8f34c295,cf81df12-3657-4a51-873c-9c2f39fd240c
0313e826-a596-45e3-9b42-5ad79b3c05c2,cf81df12-3657-4a51-873c-9c2f39fd240c
0313e826-a596-45e3-9b42-5ad79b3c05c2,04d8d6a7-c069-488b-b554-cf0babdb1fff
b892eea1-a699-4ce7-8fa1-9cf264299c65,cf81df12-3657-4a51-873c-9c2f39fd240c
ebdddb22-7531-4b1b-b645-8f117ab13a35,cf81df12-3657-4a51-873c-9c2f39fd240c
bc2e24f9-1b49-4df7-bfcf-049e973da84a,cf81df12-3657-4a51-873c-9c2f39fd240c
5c5dda63-9ac0-4242-ab8f-13e6202a535d,cf81df12-3657-4a51-873c-9c2f39fd240c
dd682e87-8780-4592-82c1-69ab73517a5b,cf81df12-3657-4a51-873c-9c2f39fd240c
0b753da7-d813-47af-9ee4-18b27ea71e05,cf81df12-3657-4a51-873c-9c2f39fd240c
3914c510-7401-4617-af7a-adc57fea917c,cf81df12-3657-4a51-873c-9c2f39fd240c
a60f0571-ee00-4905-9d2b-f49c7a6035e3,f0e6922d-8761-496a-872f-99f8bfe16ecc
1cef14a2-579f-45fd-a0aa-91a3b927154d,ef06a248-e706-4d98-92e7-f6a8956b762c
1cef14a2-579f-45fd-a0aa-91a3b927154d,04d8d6a7-c069-488b-b554-cf0babdb1fff
dc21439a-1371-41c2-800c-ceafa5ef5ce9,ef06a248-e706-4d98-92e7-f6a8956b762c
7d3eaa01-149d-4b93-ad99-435b18c3e372,ef06a248-e706-4d98-92e7-f6a8956b762c
