idGrupoValorCategoria,idValorCategoria
546aad9d-d18e-4dcf-827e-c1e066fe6621,00c01e12-1e8c-42cc-a658-6f6029fbf53b
546aad9d-d18e-4dcf-827e-c1e066fe6621,e4784132-a9bb-4397-b4d4-4bc5167a0141
ea081662-99d2-4905-8ce2-0a75fa4644b8,00c01e12-1e8c-42cc-a658-6f6029fbf53b
ea081662-99d2-4905-8ce2-0a75fa4644b8,e4784132-a9bb-4397-b4d4-4bc5167a0141
0ab60668-d2ff-428f-a188-b158a1350743,2f5601df-76bb-49b9-877d-97750739f14d
0ab60668-d2ff-428f-a188-b158a1350743,f6639417-f347-4a18-a425-220e402654ff
0ab60668-d2ff-428f-a188-b158a1350743,fb84a4e9-4d3e-4d3f-9552-db7c23454ed4
deae0847-4568-425d-bdd8-81f40b24235a,38602927-b0ef-4425-8beb-0ab2789bcdd8
deae0847-4568-425d-bdd8-81f40b24235a,7e40ff81-dd48-4dc6-9035-d68049610f8f
deae0847-4568-425d-bdd8-81f40b24235a,76060894-f16a-43df-8880-00361cbdc807
9bc32607-d92a-4ef0-93f0-f712ec955325,38602927-b0ef-4425-8beb-0ab2789bcdd8
9bc32607-d92a-4ef0-93f0-f712ec955325,7e40ff81-dd48-4dc6-9035-d68049610f8f
9bc32607-d92a-4ef0-93f0-f712ec955325,76060894-f16a-43df-8880-00361cbdc807
79a98124-8502-450a-b3e3-19441cbea8b2,17c2fc87-3aa6-4f0d-9043-3d5b2c2f5106
79a98124-8502-450a-b3e3-19441cbea8b2,ae5c262b-08c4-462d-b54e-632d44c596d8
79a98124-8502-450a-b3e3-19441cbea8b2,eb3a636a-2333-4819-8c8e-1ea7fdf107ff
79a98124-8502-450a-b3e3-19441cbea8b2,b029094b-d14b-4e8c-8354-47e283cc9c66
79a98124-8502-450a-b3e3-19441cbea8b2,5b80a6c5-2566-4b5a-926b-2160bee06731
79a98124-8502-450a-b3e3-19441cbea8b2,d038151b-c2f7-49bc-bf9e-e1950df75109
79a98124-8502-450a-b3e3-19441cbea8b2,95e01b44-f993-44b7-b949-755716ee5216
79a98124-8502-450a-b3e3-19441cbea8b2,122b8721-c22a-4997-8c10-878adf2b5bd2
b009fdc4-38a4-4875-bac1-08ffe641bac9,67ebc029-a4a7-4b80-aee3-8a5491e3cbb5
