id_grupo_tema_interes,id_tema_interes
51b08de5-3e4a-4298-bdbc-ea59ec79c9f3,f51cb5cf-6196-4da3-a129-927ffe78570e
6add9627-0356-4d45-aa1d-10540cac5402,44d20e53-d8ab-43f6-a84b-9dd330105adf
18db4b1a-b925-411c-8b4a-e7482ebdb13b,e40bf283-0155-436e-97f1-07e248a14776
8ed6e74f-397c-43f0-a68a-89e7a0668954,e40bf283-0155-436e-97f1-07e248a14776
2ef1aad8-9dc7-4d45-b2e2-44bec1bddabf,e40bf283-0155-436e-97f1-07e248a14776
66d21b7a-56f0-4999-9377-376ac9d2c831,b8ccd884-5487-4b89-9543-de34b1d320e4
c2b90290-491a-46dd-958f-8cddd846a259,b8ccd884-5487-4b89-9543-de34b1d320e4
5f709acb-05f4-4d14-a1be-aefaee17594e,b8ccd884-5487-4b89-9543-de34b1d320e4
5880be8f-b2c9-4372-95f8-8eb7fda1ccb5,b8ccd884-5487-4b89-9543-de34b1d320e4
a7cb8110-4038-4046-8b58-b4bffe6d955c,b8ccd884-5487-4b89-9543-de34b1d320e4
7fee7a1c-7480-4e83-81ae-8c9c0849faed,e40bf283-0155-436e-97f1-07e248a14776
f1b9d3d5-4d6a-44a5-9276-71d9678e7b4d,e40bf283-0155-436e-97f1-07e248a14776
95f4fdd0-f4ad-4f1d-8bf2-98c9d2230ddb,e40bf283-0155-436e-97f1-07e248a14776
e96171e0-164f-475b-90fc-687bbf04d71c,e40bf283-0155-436e-97f1-07e248a14776
51bc64af-e4ed-41e4-b30f-fbd3f79c3dfe,e40bf283-0155-436e-97f1-07e248a14776
8a33e125-df8c-4996-aee7-ca33c8760495,e40bf283-0155-436e-97f1-07e248a14776
825b726c-690d-47c0-8c46-290c8e394cdd,e40bf283-0155-436e-97f1-07e248a14776
4e75faab-4a88-4b2d-8973-620c1c30fb74,e40bf283-0155-436e-97f1-07e248a14776
759b8de3-50c8-42a6-a44e-f363cfb8f429,e40bf283-0155-436e-97f1-07e248a14776
db0a05ed-cd02-4e0e-902c-7789e8f042b0,e40bf283-0155-436e-97f1-07e248a14776
81509585-637c-4950-8e09-58dff4668c30,e40bf283-0155-436e-97f1-07e248a14776
4e602749-9ed2-479c-95be-9a720e78178e,e40bf283-0155-436e-97f1-07e248a14776
671f7adf-3756-4c09-980d-694fd010e734,e40bf283-0155-436e-97f1-07e248a14776
534170ab-b4e4-459d-bde1-3b642272a9f6,e40bf283-0155-436e-97f1-07e248a14776
d84ce346-901c-4506-89ad-eed2f189a280,e40bf283-0155-436e-97f1-07e248a14776
109125fc-b83c-4c58-a8cb-72945f24dd97,e40bf283-0155-436e-97f1-07e248a14776
62388d4b-3d07-4ab0-8863-6d14267174fb,f51cb5cf-6196-4da3-a129-927ffe78570e
2b02d5c2-48d2-4391-a805-46dc09872e95,f51cb5cf-6196-4da3-a129-927ffe78570e
aa727ae0-58dc-4487-a072-8ff16405ba2b,f51cb5cf-6196-4da3-a129-927ffe78570e
868ee98c-353e-4f79-baf6-bd56f5e18c11,b8ccd884-5487-4b89-9543-de34b1d320e4
b2627b09-56e8-4c4e-ac92-e1655f025356,b8ccd884-5487-4b89-9543-de34b1d320e4
4d849ea0-f885-4887-8d1c-507c6b7f6506,b8ccd884-5487-4b89-9543-de34b1d320e4
5d786d7f-e3aa-4ee4-b80d-bf0765bc8ddd,f51cb5cf-6196-4da3-a129-927ffe78570e
1b2a660c-29a5-4ccf-a8db-8b9b281f4953,f51cb5cf-6196-4da3-a129-927ffe78570e
dff82f6b-cccb-4a6a-b37a-0c66e6832911,f51cb5cf-6196-4da3-a129-927ffe78570e
27d894ab-04f8-4f7c-8151-1c2b5706b6d7,f51cb5cf-6196-4da3-a129-927ffe78570e
0d8a7e89-84b9-4015-80b1-3492793abe5e,b8ccd884-5487-4b89-9543-de34b1d320e4
1996795d-e4df-4f92-93ad-d076d7568508,f51cb5cf-6196-4da3-a129-927ffe78570e
66d33258-90c5-4e6a-93a3-99816e93c983,f51cb5cf-6196-4da3-a129-927ffe78570e
3678fe7d-5296-4878-b9f0-7f193a7b22ec,f51cb5cf-6196-4da3-a129-927ffe78570e
0d228c38-64d9-441b-bf28-9c2352c38cfd,f51cb5cf-6196-4da3-a129-927ffe78570e
dca603e0-885b-4342-98ec-dbd8711a3ba9,f51cb5cf-6196-4da3-a129-927ffe78570e
a3af390d-6f79-4498-af96-4c2b48a18bc4,f51cb5cf-6196-4da3-a129-927ffe78570e
5a62682b-f10b-4738-8b80-2afb51e64c36,f51cb5cf-6196-4da3-a129-927ffe78570e
d1029584-f857-4d28-b1c5-cc1cb52b691c,f51cb5cf-6196-4da3-a129-927ffe78570e
effdc57d-ef3c-4e02-824a-6aa73fb482ae,f51cb5cf-6196-4da3-a129-927ffe78570e
b2aad65b-a9ca-41c0-8f5a-6fa958fa6ffd,f51cb5cf-6196-4da3-a129-927ffe78570e
58db86be-2d71-4d2a-956e-043d6dfaca8e,f51cb5cf-6196-4da3-a129-927ffe78570e
6a9cd3c1-2722-408c-b635-e336ed32df4b,f51cb5cf-6196-4da3-a129-927ffe78570e
1ee905f0-a5a8-4b67-9890-f05588fa283e,f51cb5cf-6196-4da3-a129-927ffe78570e
daa7bb5c-7b3f-4821-bab5-bda5cfc06fc9,f51cb5cf-6196-4da3-a129-927ffe78570e
